cases.0.submitter_id	file_id	file_name	file_size	id
MMRF_2651	178fe0d9-141c-4541-9c13-bd18b9aedf9f	61aa4bba-87c3-431b-95ef-71aa66a42006.wxs.aliquot_ensemble_masked.maf.gz	67618	178fe0d9-141c-4541-9c13-bd18b9aedf9f
MMRF_1450	d07fa0fa-3751-4200-b57e-ed0efe53b75f	5fd1fc10-719b-4be1-8c38-3d19126a07ef.wxs.aliquot_ensemble_masked.maf.gz	53527	d07fa0fa-3751-4200-b57e-ed0efe53b75f
MMRF_2143	f39eff56-7823-4496-b130-9156ab402529	0355cee2-d2b6-4238-8b41-a820abb00afa.wxs.aliquot_ensemble_masked.maf.gz	22812	f39eff56-7823-4496-b130-9156ab402529
MMRF_1624	2d5b932d-785c-4824-979a-1266ec0d74a9	62d40a50-9f4c-488e-8d10-c51f8d65007c.wxs.aliquot_ensemble_masked.maf.gz	31961	2d5b932d-785c-4824-979a-1266ec0d74a9
MMRF_1525	afae7023-7ea0-4762-9717-e633300556e8	322ed285-c371-4964-9d37-b463e44237a6.wxs.aliquot_ensemble_masked.maf.gz	22733	afae7023-7ea0-4762-9717-e633300556e8
MMRF_2836	2fbbb34c-65af-4edf-8730-da89d151453f	ab8416f5-1a10-48ea-9ac8-f861e832075c.wxs.aliquot_ensemble_masked.maf.gz	48371	2fbbb34c-65af-4edf-8730-da89d151453f
MMRF_2487	12ba638c-ef26-404a-865b-b8d4df538b6d	f7936274-cf86-44ea-bd5b-4b762a65e0ff.wxs.aliquot_ensemble_masked.maf.gz	39743	12ba638c-ef26-404a-865b-b8d4df538b6d
MMRF_1727	a81f9e4f-7a50-44d8-9b48-c9a49189d8ef	189ac76c-3391-47dd-9294-bc347c89055f.wxs.aliquot_ensemble_masked.maf.gz	37289	a81f9e4f-7a50-44d8-9b48-c9a49189d8ef
MMRF_1327	c52c4995-b18d-4855-9953-0083d8b73a0a	3856cdb9-e527-4779-910c-16f1de168d99.wxs.aliquot_ensemble_masked.maf.gz	39535	c52c4995-b18d-4855-9953-0083d8b73a0a
MMRF_2307	15bfaa85-9369-4cf2-8d45-6a85513f9600	433e282d-6661-4cd5-8eae-78c8c331c338.wxs.aliquot_ensemble_masked.maf.gz	21356	15bfaa85-9369-4cf2-8d45-6a85513f9600
MMRF_1511	618a4257-7631-493f-b953-fe4ed34d2aa4	2f65f098-06b5-41b5-a413-dfbb053389ef.wxs.aliquot_ensemble_masked.maf.gz	28972	618a4257-7631-493f-b953-fe4ed34d2aa4
MMRF_2054	5023aac6-b508-4285-86d2-654c39810dfd	e7512f5a-6783-4e91-a50f-ff75c3c31e91.wxs.aliquot_ensemble_masked.maf.gz	34282	5023aac6-b508-4285-86d2-654c39810dfd
MMRF_2490	222d7531-8894-43bd-9f11-12edb2076e40	2af0e711-a536-465b-8aec-3fb435ce7a81.wxs.aliquot_ensemble_masked.maf.gz	130602	222d7531-8894-43bd-9f11-12edb2076e40
MMRF_2119	72a8c1de-321a-441a-bf78-9b281ef0c5e2	525ffa1e-6071-4c9a-bf45-7f3534865606.wxs.aliquot_ensemble_masked.maf.gz	38042	72a8c1de-321a-441a-bf78-9b281ef0c5e2
MMRF_1955	cdf6d586-2264-475b-84e8-55262418e9a9	0ea0f323-2f68-45e6-b969-eb50f1944890.wxs.aliquot_ensemble_masked.maf.gz	36516	cdf6d586-2264-475b-84e8-55262418e9a9
MMRF_2068	187cb190-631b-4ffc-89d4-c797887966b6	4abc19f7-0715-4fb8-9322-55a43890b52e.wxs.aliquot_ensemble_masked.maf.gz	38649	187cb190-631b-4ffc-89d4-c797887966b6
MMRF_1825	55ba1e44-7669-4cfb-8c62-49773a3c0d72	1beb8b50-9c40-4422-9776-00ac48bd56d6.wxs.aliquot_ensemble_masked.maf.gz	33154	55ba1e44-7669-4cfb-8c62-49773a3c0d72
MMRF_1820	b37234e1-f6db-4cf6-8f25-49dd0e04c20d	6056ca07-bf0d-47fc-a0eb-829c1b020667.wxs.aliquot_ensemble_masked.maf.gz	23297	b37234e1-f6db-4cf6-8f25-49dd0e04c20d
MMRF_1982	0795d477-ecf4-4f3b-a69e-3b4b1e8dde10	9fa09f16-2f4a-4907-8cb6-0aad2447ed2b.wxs.aliquot_ensemble_masked.maf.gz	22378	0795d477-ecf4-4f3b-a69e-3b4b1e8dde10
