Regimen,Frequency_pct,Source
VRd,35.0,Approx. from CoMMpass analysis
Rd,18.0,Approx. from CoMMpass analysis
VCd,12.0,Approx. from CoMMpass analysis
Vd,10.0,Approx. from CoMMpass analysis
KRd,8.0,Approx. from CoMMpass analysis
DRd,7.0,Approx. from CoMMpass analysis
other,10.0,Approx. from CoMMpass analysis
