subset	signature	n_MM	n_control	median_MM	median_control	MM_minus_control_median	cohen_d_sample_level	mannwhitney_p_sample_level
all_samples	plasma_secretory	6	3	0.7091444028025984	0.0	0.7091444028025984	3.1285758854064127	0.025601129177555765
all_samples	myeloid_inflammatory	6	3	0.29168847514878804	0.0	0.29168847514878804	0.6420901169959983	0.5001842570707944
all_samples	t_nk_cytotoxic_exhaustion	6	3	0.0	0.0	0.0	0.7347220316757447	0.376759117811582
all_samples	stromal_ecm	6	3	0.3605857387686543	0.0	0.3605857387686543	1.482991486075857	0.08782509563019496
all_samples	endothelial_angiogenic	6	3	0.0	0.0	0.0	0.4830458915396479	0.6373518882339371
all_samples	erythroid_megak	6	3	0.48259224171856274	0.22534609792395172	0.257246143794611	0.49547324379398755	0.5114817794495524
all_samples	cycling_proliferation	6	3	0.0	0.0	0.0	0.48304589153964805	0.6373518882339371
exclude_hMM1_low_spot	plasma_secretory	5	3	0.5605907842030626	0.0	0.5605907842030626	2.87474800030642	0.03247332032606962
exclude_hMM1_low_spot	myeloid_inflammatory	5	3	0.25322543001568354	0.0	0.25322543001568354	0.5331747414275384	0.7507511846462325
exclude_hMM1_low_spot	t_nk_cytotoxic_exhaustion	5	3	0.0	0.0	0.0	0.8568743850766456	0.3291139859786082
exclude_hMM1_low_spot	stromal_ecm	5	3	0.3559879319457283	0.0	0.3559879319457283	1.3016608509582648	0.12663045794761718
exclude_hMM1_low_spot	endothelial_angiogenic	5	3	0.0	0.0	0.0	0.5477225575051661	0.6055766163353464
exclude_hMM1_low_spot	erythroid_megak	5	3	0.3179212820857859	0.22534609792395172	0.09257518416183419	0.3931788424712356	0.7599815271577279
exclude_hMM1_low_spot	cycling_proliferation	5	3	0.0	0.0	0.0	0.5477225575051661	0.6055766163353464
strong_depth_MM_hMM2_hMM3_plus_controls	plasma_secretory	2	3	0.7344687311440422	0.0	0.7344687311440422	5.173380681631172	0.1065831695748876
strong_depth_MM_hMM2_hMM3_plus_controls	myeloid_inflammatory	2	3	0.8165434720866097	0.0	0.8165434720866097	1.557748731106165	0.3742593192802244
strong_depth_MM_hMM2_hMM3_plus_controls	t_nk_cytotoxic_exhaustion	2	3	0.11359998255476228	0.0	0.11359998255476228	5.283059466422729	0.1065831695748876
strong_depth_MM_hMM2_hMM3_plus_controls	stromal_ecm	2	3	0.29401180484351497	0.0	0.29401180484351497	1.9387950595393395	0.1386406338132186
strong_depth_MM_hMM2_hMM3_plus_controls	endothelial_angiogenic	2	3	0.11637489849957461	0.0	0.11637489849957461	1.2247448713915892	0.4142161782425252
strong_depth_MM_hMM2_hMM3_plus_controls	erythroid_megak	2	3	0.7947215515450723	0.22534609792395172	0.5693754536211206	1.1667720695519603	0.4
strong_depth_MM_hMM2_hMM3_plus_controls	cycling_proliferation	2	3	0.05310489174335922	0.0	0.05310489174335922	1.224744871391589	0.4142161782425252
exclude_low_depth_hMM4_hMM5_hMM6_hMM1	plasma_secretory	2	3	0.7344687311440422	0.0	0.7344687311440422	5.173380681631172	0.1065831695748876
exclude_low_depth_hMM4_hMM5_hMM6_hMM1	myeloid_inflammatory	2	3	0.8165434720866097	0.0	0.8165434720866097	1.557748731106165	0.3742593192802244
exclude_low_depth_hMM4_hMM5_hMM6_hMM1	t_nk_cytotoxic_exhaustion	2	3	0.11359998255476228	0.0	0.11359998255476228	5.283059466422729	0.1065831695748876
exclude_low_depth_hMM4_hMM5_hMM6_hMM1	stromal_ecm	2	3	0.29401180484351497	0.0	0.29401180484351497	1.9387950595393395	0.1386406338132186
exclude_low_depth_hMM4_hMM5_hMM6_hMM1	endothelial_angiogenic	2	3	0.11637489849957461	0.0	0.11637489849957461	1.2247448713915892	0.4142161782425252
exclude_low_depth_hMM4_hMM5_hMM6_hMM1	erythroid_megak	2	3	0.7947215515450723	0.22534609792395172	0.5693754536211206	1.1667720695519603	0.4
exclude_low_depth_hMM4_hMM5_hMM6_hMM1	cycling_proliferation	2	3	0.05310489174335922	0.0	0.05310489174335922	1.224744871391589	0.4142161782425252
