dataset	variable	outcome	outcome_label	test_family	n	n_event	n_nonevent	median_event	median_nonevent	delta_event_minus_nonevent	mannwhitney_p	auc_event	median_split_or	median_split_fisher_p	high_event_count	high_nonevent_count	low_event_count	low_nonevent_count	high_n	low_n	high_events	low_events	high_median_time	low_median_time	logrank_chi2	logrank_p	mannwhitney_fdr	median_split_fisher_fdr	logrank_fdr	best_fdr
GSE24080	plasma_secretory_score_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	-0.044629669686161846	0.0441126429102854	-0.08874231259644724	0.5799404579689971	0.483415965256159	0.8026825221238938	0.30159195039184056	54.0	226.0	64.0	215.0									0.9751716416904214	0.72541352793606		0.72541352793606
GSE24080	clinical_subtype_module_score_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	0.11631731802664227	0.07406054928480382	0.04225676874183845	0.9751716416904214	0.4990583804143126	1.1824046920821114	0.4683431765222259	63.0	217.0	55.0	224.0									0.9751716416904214	0.72541352793606		0.72541352793606
GSE24080	POU2AF1_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	0.16838973203579224	0.09623220532230756	0.07215752671348469	0.8403109164846928	0.5060436604020139	1.1325360419397117	0.6045112732800499	62.0	218.0	56.0	223.0									0.9751716416904214	0.72541352793606		0.72541352793606
GSE24080	JCHAIN_z	os_24mo_event	24-month OS death	binary	559	78	481.0	0.22241984705616985	0.22612411980264516	-0.0037042727464753067	0.7417732685630636	0.5116344154805693	0.9382231404958677	0.8083066495320663	38.0	242.0	40.0	239.0									0.7417732685630636	0.8083066495320663		0.7417732685630636
GSE2658	TXNDC5_z	AMP_high_3plus	FISH 1q21 amplification >=3 copies	binary	248	114	134.0	0.0496009807530793	0.08150554591107974	-0.031904565158000435	0.7539045004878965	0.4884131971720346	0.9371196754563894	0.8986470855909232	56.0	68.0	58.0	66.0									0.7539045004878965	0.8986470855909232		0.7539045004878965
GSE24080	TXNDC5_z	efs_24mo_event	24-month EFS event	binary	559	118	441.0	-0.026730811764218734	-0.028110801030584495	0.001379989266365761	0.788519756114383	0.4919578000691802	0.995475113122172	1.0	59.0	221.0	59.0	220.0									0.9751716416904214	1.0		0.9751716416904214
GSE2658	TXNDC5_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	57.0	42.0	27.92	17.83	0.1301721911465399	0.7182535720294589			0.9822679755138776	0.9822679755138776
GSE2658	JCHAIN_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	57.0	42.0	30.0	18.13	0.0004939784807106764	0.9822679755138776			0.9822679755138776	0.9822679755138776
GSE2658	XBP1_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	57.0	42.0	26.07	20.7	0.45582617544241816	0.49958110335817685			0.9822679755138776	0.9822679755138776
GSE2658	clinical_subtype_module_score_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	56.0	43.0	28.34	17.88	0.010677761934104288	0.917698481880724			0.9822679755138776	0.9822679755138776
GSE2658	plasma_secretory_score_z	SURTIM/SURIND	Disease-related survival	survival_logrank	558	99													279.0	279.0	52.0	47.0	27.18	19.8	0.06786031948306179	0.7944780124519297			0.9822679755138776	0.9822679755138776
