comparison	label	rank	gene	mean_in_log_norm	mean_out_log_norm	log_norm_difference	pct_in	pct_out	score
cluster	0	1	IGHA1	5.751967105691258	1.2458830500765117	4.506084055614746	0.9961783439490445	0.2605527162596934	3.3147909118325747
cluster	0	2	JCHAIN	6.512513406684137	1.7831477727757066	4.729365633908431	0.9987261146496814	0.3848192314972722	2.903390115600843
cluster	0	3	B2M	4.022224139151986	0.6845566232924084	3.337667515859578	0.9401273885350317	0.2071739541926881	2.4463548684421563
cluster	0	4	CD74	3.47187603943088	0.7083783194314347	2.763497719999445	0.864968152866242	0.22127579027067273	1.7788423764139119
cluster	0	5	PIM2	2.9525534503108837	0.3696643592576219	2.5828890910532616	0.7961783439490445	0.1275790270679561	1.7269178818578261
cluster	0	6	VIM	3.6804334917228876	1.1199072573853541	2.5605262343375337	0.9006369426751591	0.3324815445769515	1.4547768020109462
cluster	0	7	TXNDC5	3.4685176870466234	1.0448879645590659	2.423629722487558	0.884076433121019	0.2896081771720595	1.4407709341932393
cluster	0	8	COL1A1	2.548158822799593	0.44300286080019835	2.1051559619993947	0.7146496815286624	0.14783267083096757	1.193238209432927
cluster	0	9	FGFR3	2.231060513408257	0.24304225160193335	1.9880182618063238	0.6535031847133758	0.06975203482869562	1.1605079463211845
cluster	0	10	COL3A1	2.6337219312459683	0.5075044153127818	2.1262175159331864	0.7184713375796178	0.17433276547416016	1.1569569631054972
cluster	0	11	SRGN	2.586221858031987	0.5987993796844501	1.9874224783475367	0.7350318471337579	0.20357751277682626	1.0562242903161936
cluster	0	12	COL1A2	2.107773135425065	0.3247683575136298	1.783004777911435	0.6089171974522293	0.11357183418512407	0.883203149421524
cluster	0	13	ITM2C	2.215648416076202	0.4767446228702095	1.7389037932059928	0.643312101910828	0.17291311754684627	0.8179785782307744
cluster	0	14	IGKC	3.374971364126414	1.89519747817638	1.4797738859500338	0.8636942675159235	0.39674427408671237	0.6909804063210865
cluster	0	15	RGS2	1.5193450879125887	0.11274302574988977	1.406602062162699	0.46242038216560505	0.0411697898921067	0.5925319517791611
