cluster	Group	plasma_cell_score	immune_pan_score	t_cell_nk_score	myeloid_score	stromal_ecm_score	endothelial_score
0	MM	1.4911721417945196	0.0	0.0	0.0	0.9347111703848834	0.0
1	MM	0.0	0.0	0.0	0.0	0.0	0.0
1	control	0.0	0.0	0.0	0.0	0.0	0.0
2	MM	2.2233151331390766	0.2927999002267977	0.0	0.10860758387710465	0.4164459242546852	0.4236217678651887
3	MM	1.1400556607725179	0.4252072138767569	0.3817471824766017	2.0922474274275067	0.6576897289160827	0.36723242210662466
3	control	0.1983264512907651	0.22463568574905549	0.27944835657387795	1.4679772237769801	0.43813899450810756	0.0
4	MM	0.949527167178038	0.0	0.0	0.0	0.0	0.0
4	control	0.6605716140726302	0.0	0.0	0.43529282493820143	0.0	0.0
5	MM	0.4477915147872279	0.0	0.0	0.0	0.0	0.0
5	control	0.0	0.0	0.0	0.0	0.0	0.0
6	MM	0.543084410163095	0.0	0.0	0.9978651688748381	0.5907091503072515	0.0
7	MM	0.5261219404325137	0.0	0.0	0.32292614642105705	0.5327489257128194	0.0
7	control	0.0	0.0	0.0	0.0	0.0	0.0
