Title	Group	plasma_cell_score	immune_pan_score	t_cell_nk_score	myeloid_score	stromal_ecm_score	endothelial_score
hHBM1	control	0.0	0.0	0.0	0.0	0.0	0.0
hHBM2	control	0.0	0.0	0.0	0.5655357765671739	0.0	0.0
hHBM3	control	0.0	0.0	0.0	0.0	0.0	0.0
hMM1	MM	0.45940127511148293	0.0	0.0	0.7670188406367006	0.5359681542967301	0.0
hMM2	MM	0.8104258508607305	0.28988208704068597	0.18967470433840034	1.88287829129587	0.4346776466200091	0.0
hMM3	MM	0.5889780103363308	0.0	0.0	0.3486313147156485	0.18069289534483918	0.0
hMM4	MM	0.5035512382409724	0.0	0.0	0.0	0.47468288532119474	0.0
hMM5	MM	0.9733634992315876	0.0	0.0	0.0	0.46897491532624547	0.0
hMM6	MM	0.47141287758897255	0.0	0.0	0.0	0.0	0.0
