gene	variance	detected_spots
DRAP1	0.5828294547309947	1227
HNRNPA3	0.5824103687726874	1301
DCAF8	0.5807953840035665	1274
STAT1	0.5807255950810484	960
GYPC	0.5807157033223012	1211
TNS3	0.5804354391572338	1146
TTC3	0.5803654284163242	1331
RGS1	0.579653824699726	779
EIF4A1	0.579259540518873	1298
CKS1B	0.5783332415106999	1239
ASPH	0.5781072593155328	1311
IRF4	0.577427811947744	1222
EMC4	0.5755842186196308	1248
DDX17	0.5712532320795851	1193
TOMM7	0.5704135950438365	1140
C11orf58	0.570215879508847	1295
CHD2	0.570103149598075	1372
DNM2	0.5674948171171893	1267
LCP1	0.5668624200093147	1244
CREB3L2	0.564165052133927	1166
MAPKAPK2	0.5641528421672418	1102
POLR2L	0.5638885214781637	1201
CHST11	0.5625280486799321	1225
FAM3C	0.5622100500202891	1133
TPD52	0.5621493059224549	1085
KMT2C	0.5608658453228389	1259
CREBZF	0.5594868023232971	1376
WSB1	0.5590213953119846	1261
SPI1	0.5577751414845197	1240
GNB1	0.556048546890333	1160
PNN	0.5552710852420897	1266
ZNF595	0.5552280259454039	1201
REEP5	0.5545628579179515	1142
FKBP5	0.5538485744422663	1083
SEC14L1	0.5533893979673264	1144
SEC62	0.5517981194847953	1152
IKBKB	0.5516412667661252	1317
CA2	0.5512754404393295	1023
TAP1	0.550800575495986	983
FAM118A	0.5498432895973446	1299
WDR26	0.5497260414172173	1236
CITED2	0.5494437638156129	971
SNX1	0.5489454467518836	1280
SRPRA	0.5486354198658865	1128
EEF1B2	0.5475983070446581	1237
SNCA	0.5475733957379254	1082
STXBP2	0.5466512649462455	1271
NPLOC4	0.54521234188776	1249
COQ4	0.5441145200420338	1264
BTG1	0.5437888162002129	1250
CTSG	0.5424998150064626	926
STAU2	0.5404164619286176	1228
RNASE1	0.5402472523058628	999
ISG20	0.5397415378732842	1267
UBE2G2	0.5395162966956739	1249
PLEKHO1	0.5386816131276286	959
CYBC1	0.5380231556163075	1203
NDUFAF8	0.5375558215627774	1122
KLF6	0.5369963612389291	1052
ASH1L	0.5352896916607938	1210
MDFIC	0.5348564975946946	1197
TGOLN2	0.5346527434093393	1239
FAM214A	0.5341393499950741	1214
ZFP36L1	0.53407172804288	886
ST8SIA4	0.5339362797381475	1102
DEFA3	0.5331480733505106	812
SDC1	0.5326453426931089	1122
STRBP	0.531780759463584	1093
IER2	0.5317306263691202	1183
CSRP1	0.5313116060503974	1104
EIF3A	0.5309363224123108	1209
HNRNPA0	0.5283008081712459	1257
CA1	0.5277092667363511	935
FAM90A1	0.5263397669539568	1170
MDM2	0.5263312661381798	909
ARHGEF2	0.5261199018847798	1075
SYNE1	0.526046868928917	1277
CTDSP1	0.5252222973002534	1194
MBNL1	0.5249290773908322	1188
ELOA3	0.5248441112929829	1084
BMP6	0.5245907510325198	1185
SDF4	0.5232342020646856	1090
NDUFA4	0.5223391900876739	1101
AKNA	0.5222229042791264	1147
TM9SF3	0.5220436414377869	1136
IDH2	0.5218269261774556	1077
PDIA6	0.5213701676771376	893
FMN1	0.5204939914010407	1088
UFC1	0.520257556902019	1174
WIPF1	0.5202138475791162	1091
LRPAP1	0.5196660063033297	1212
SNU13	0.5181097468774604	1177
KCTD12	0.5160781311210877	1106
TP53INP1	0.5151200163286618	1036
SDF2L1	0.5149350374191403	1034
TMX2	0.5131098660942961	1152
ARL6IP5	0.5131083095369643	971
TRABD	0.5125936507141257	1206
PILRB	0.5118790872615315	1187
CNBP	0.5112662568519298	1081
GOSR2	0.5112404008095339	1171
CCDC88A	0.5101988646133346	1011
CAT	0.5098141319228622	1097
ARCN1	0.5094531047169275	1165
TPM1	0.508827971792838	1183
SUMF2	0.508440193590676	1102
RERE	0.5071148029065334	1165
TXNL4A	0.5051995102028464	1209
TM9SF2	0.5047788166072803	1152
ZRANB2	0.5023709413991482	1150
ELANE	0.5019737864014268	890
TRIR	0.5014459617601323	1128
MOXD1	0.5010611092156095	851
SRP19	0.5005176723315846	1157
IER5	0.5004617882351854	1003
SULF2	0.4998964309930372	746
FAM30A	0.4994912551499848	1100
GNAQ	0.49869678507894755	1187
TAF11L4	0.4979182475421444	930
APOBEC3C	0.4954703339318554	1035
METTL15	0.4952999851607833	1168
EZR	0.49504160365812033	1035
FCGRT	0.4941765424997717	1108
PRKACA	0.49417363985949064	1140
PDXK	0.4941322407143972	1186
SGK1	0.49363263131881213	984
SPG7	0.49167618288556136	1164
MAP4	0.4912504569847651	1061
