Response,Frequency_pct,Source
CR/sCR,12.0,Approx. from CoMMpass reports
VGPR,25.0,Approx. from CoMMpass reports
PR,35.0,Approx. from CoMMpass reports
SD,15.0,Approx. from CoMMpass reports
PD,8.0,Approx. from CoMMpass reports
Primary Refractory,58.0,"ASH 2024, IA19"
ASCT Received,45.0,Approx. from CoMMpass reports
