model_type	model_name	endpoint	score	score_label	n	events_or_cases	effect_type	effect	ci_lower	ci_upper	coef	se	p_value	covariates	status	note	fdr
cox_ph	OS adjusted for age, sex, ISS, cytogenetic high risk	overall_survival	XBP1_z	XBP1	630	124	hazard_ratio_per_1sd_score	1.0692099348807127	0.8798901906430504	1.299264268433457	0.06691999712190494	0.09942763253982195	0.5009140164115593	age_z,male,iss_stage_num,Cytogenetic_High_Risk	ok		0.6440323068148619
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	POU2AF1_z	POU2AF1	630	191	odds_ratio_per_1sd_score	0.9464652589322275	0.7973508844041236	1.1234658465765612	-0.05502101377953136	0.08746909532139215	0.5293269555256701	age_z,male,iss_stage_num	ok		0.6555409285667309
logit	ISS III adjusted for age and sex	iss_stage_III	TXNDC5_z	TXNDC5	742	211	odds_ratio_per_1sd_score	1.052206591423687	0.8952238066731084	1.2367172351569582	0.05088947471586366	0.08243418538870287	0.5370140506509103	age_z,male	ok		0.6555409285667309
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	TXNDC5_z	TXNDC5	630	191	odds_ratio_per_1sd_score	0.9486597307776002	0.7993769552772404	1.1258209019634622	-0.05270510022436476	0.08735589817355241	0.5462841071389424	age_z,male,iss_stage_num	ok		0.6555409285667309
logit	ISS III adjusted for age and sex	iss_stage_III	JCHAIN_z	JCHAIN	742	211	odds_ratio_per_1sd_score	1.0444063924683844	0.8868476697188871	1.2299572405423156	0.0434486785330142	0.08343404411239905	0.6025375975993927	age_z,male	ok		0.7073267450079828
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	XBP1_z	XBP1	630	300	odds_ratio_per_1sd_score	1.0527357145190679	0.8606143742429513	1.2877457288566192	0.051392218287534736	0.10280661960287457	0.6171510461551364	age_z,male,iss_stage_num	ok		0.7090671594122844
logit	17p13 deletion adjusted for age, sex, ISS	Cp_17p13_Call	JCHAIN_z	JCHAIN	660	86	odds_ratio_per_1sd_score	1.0540823006796323	0.8379218206180037	1.3260061610361094	0.05267053120703656	0.11709235044783041	0.6528399268217306	age_z,male,iss_stage_num	ok		0.7315152338798632
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	plasma_secretory_score_z	Plasma-secretory score	630	191	odds_ratio_per_1sd_score	1.0652814161250264	0.800996628392546	1.4167656333569432	0.06323900474900068	0.14547833975479343	0.6637823418539499	age_z,male,iss_stage_num	ok		0.7315152338798632
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	POU2AF1_z	POU2AF1	630	300	odds_ratio_per_1sd_score	1.0326237194980599	0.843326943511631	1.2644108601936321	0.03210286385430637	0.1033180748343727	0.7560144360967881	age_z,male,iss_stage_num	ok		0.8164955909845312
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	JCHAIN_z	JCHAIN	630	300	odds_ratio_per_1sd_score	0.9733909774122277	0.8018238795497553	1.1816684674439626	-0.026969450772826697	0.09892696225390683	0.7851454736943441	age_z,male,iss_stage_num	ok		0.8313305015587172
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	630	300	odds_ratio_per_1sd_score	1.0372400841515925	0.7784995056396862	1.3819751770898974	0.03656342043734378	0.14640323630718827	0.8027848504999611	age_z,male,iss_stage_num	ok		0.8336611909038057
logit	IMWG non-standard risk adjusted for age, sex, ISS	imwg_risk_nonstandard	TXNDC5_z	TXNDC5	630	300	odds_ratio_per_1sd_score	0.9838133458145535	0.8052532717703523	1.2019680432653435	-0.016319089136009983	0.10218333601729226	0.8731142371564576	age_z,male,iss_stage_num	ok		0.8895880906877115
logit	Cytogenetic high risk adjusted for age, sex, ISS	Cytogenetic_High_Risk	XBP1_z	XBP1	630	191	odds_ratio_per_1sd_score	1.0067903553883755	0.8479634494706338	1.1953661685958723	0.006767404761919987	0.08759446475531654	0.9384180151277369	age_z,male,iss_stage_num	ok		0.9384180151277369
