analysis_type	feature	score	n	n_feature_0	n_feature_1	effect	effect_label	statistic	p_value	fdr
binary_mannwhitney	CCND1_Tx_Call	TXNDC5_z	667	537	130	0.10246737269192696	median_feature1_minus_feature0	36016.0	0.5732108508462819	0.6965600212815577
binary_mannwhitney	CCND1_Tx_Call	POU2AF1_z	667	537	130	-0.0497385675776915	median_feature1_minus_feature0	32848.0	0.29685043666981425	0.4190829694162083
binary_mannwhitney	CCND1_Tx_Call	XBP1_z	667	537	130	-0.19234648401532115	median_feature1_minus_feature0	31250.0	0.06376248743756911	0.12366058169710373
binary_mannwhitney	CCND1_Tx_Call	JCHAIN_z	667	537	130	0.5437817493332149	median_feature1_minus_feature0	48848.0	1.519657934717328e-12	1.716319549798394e-11
binary_mannwhitney	WHSC1_Tx_Call	plasma_secretory_score_z	667	579	88	-0.007238045716580752	median_feature1_minus_feature0	27219.0	0.3008311717687615	0.42160281007008915
binary_mannwhitney	WHSC1_Tx_Call	clinical_subtype_module_score_z	667	579	88	-0.212702096832262	median_feature1_minus_feature0	21555.0	0.019917724083049287	0.05031846084138768
binary_mannwhitney	WHSC1_Tx_Call	TXNDC5_z	667	579	88	0.07490670712126275	median_feature1_minus_feature0	27538.0	0.2209270353132603	0.33139055296989045
binary_mannwhitney	WHSC1_Tx_Call	POU2AF1_z	667	579	88	-0.36093859019537566	median_feature1_minus_feature0	20253.0	0.0019287547030726868	0.006496857947192208
binary_mannwhitney	WHSC1_Tx_Call	XBP1_z	667	579	88	-0.21323948507866886	median_feature1_minus_feature0	23553.0	0.2536485683923029	0.368943372206986
binary_mannwhitney	WHSC1_Tx_Call	JCHAIN_z	667	579	88	-0.19119253999874708	median_feature1_minus_feature0	23335.0	0.20373754481348483	0.3104572111443578
binary_mannwhitney	MAF_Tx_Call	plasma_secretory_score_z	667	641	26	-0.1973512756295054	median_feature1_minus_feature0	6785.0	0.10813434873123054	0.18537316925353806
binary_mannwhitney	MAF_Tx_Call	clinical_subtype_module_score_z	667	641	26	-0.4428522481474423	median_feature1_minus_feature0	5626.0	0.004955303977086485	0.015101878787311193
binary_mannwhitney	MAF_Tx_Call	TXNDC5_z	667	641	26	-0.0746187587356867	median_feature1_minus_feature0	7580.0	0.4346521107215202	0.5638730085035938
binary_mannwhitney	MAF_Tx_Call	POU2AF1_z	667	641	26	-0.2556033913349123	median_feature1_minus_feature0	7239.0	0.2562552782917703	0.3699324318196985
binary_mannwhitney	MAF_Tx_Call	XBP1_z	667	641	26	0.03610800375205529	median_feature1_minus_feature0	8464.0	0.8922269435641659	0.9210084578726874
binary_mannwhitney	MAF_Tx_Call	JCHAIN_z	667	641	26	-1.5886404295164716	median_feature1_minus_feature0	4557.0	8.863154641087198e-05	0.00041505504660701025
binary_mannwhitney	MYC_CN_FLAG	plasma_secretory_score_z	680	571	109	0.0887870873906084	median_feature1_minus_feature0	32868.0	0.3523220295606446	0.47975765727406927
binary_mannwhitney	MYC_CN_FLAG	clinical_subtype_module_score_z	680	571	109	0.0848981234271306	median_feature1_minus_feature0	31944.0	0.6610653020066678	0.7692396241532135
binary_mannwhitney	MYC_CN_FLAG	TXNDC5_z	680	571	109	-0.17291986606468898	median_feature1_minus_feature0	29554.0	0.40500146122686176	0.5326046613394346
binary_mannwhitney	MYC_CN_FLAG	POU2AF1_z	680	571	109	0.12720675383969382	median_feature1_minus_feature0	32395.0	0.4975080990396279	0.6243238889909056
binary_mannwhitney	MYC_CN_FLAG	XBP1_z	680	571	109	-0.0380064695297713	median_feature1_minus_feature0	31880.0	0.6859266723286299	0.7886103059107602
binary_mannwhitney	MYC_CN_FLAG	JCHAIN_z	680	571	109	-0.08853879660808342	median_feature1_minus_feature0	29470.0	0.38025977144498824	0.5105585742478164
binary_mannwhitney	MYC_STR_FLAG	plasma_secretory_score_z	667	466	201	0.14205986112735405	median_feature1_minus_feature0	51151.0	0.058652118517164495	0.11609491500304724
binary_mannwhitney	MYC_STR_FLAG	clinical_subtype_module_score_z	667	466	201	0.005020180076692696	median_feature1_minus_feature0	47260.0	0.8518331053113983	0.8937265367201557
binary_mannwhitney	MYC_STR_FLAG	TXNDC5_z	667	466	201	0.0026409192107928504	median_feature1_minus_feature0	46600.0	0.9188993142452727	0.9434688146261623
binary_mannwhitney	MYC_STR_FLAG	POU2AF1_z	667	466	201	0.025352146463574247	median_feature1_minus_feature0	46989.0	0.9457066936431289	0.9607179110025437
binary_mannwhitney	MYC_STR_FLAG	XBP1_z	667	466	201	-0.04579773155169725	median_feature1_minus_feature0	47985.0	0.6140616903890971	0.7311050439590803
binary_mannwhitney	MYC_STR_FLAG	JCHAIN_z	667	466	201	-0.09058477856149807	median_feature1_minus_feature0	44392.0	0.28516670771057984	0.4055704287439358
ordinal_spearman	ISS_Stage	plasma_secretory_score_z	742			0.1318704054010977	spearman_rho	0.1318704054010977	0.0003160315406893238	0.0013790467230079585
ordinal_spearman	ISS_Stage	clinical_subtype_module_score_z	742			0.08183069355902682	spearman_rho	0.08183069355902682	0.025812382180819236	0.06118490591009004
ordinal_spearman	ISS_Stage	TXNDC5_z	742			0.027396884359788477	spearman_rho	0.027396884359788477	0.4561726048090097	0.5878197323713413
ordinal_spearman	ISS_Stage	POU2AF1_z	742			0.0846155252271314	spearman_rho	0.0846155252271314	0.021158238384660317	0.05208181756224078
ordinal_spearman	ISS_Stage	XBP1_z	742			0.0925961993037318	spearman_rho	0.0925961993037318	0.011620582035222118	0.031873596439466384
ordinal_spearman	ISS_Stage	JCHAIN_z	742			-0.006999214629883539	spearman_rho	-0.006999214629883539	0.8490448729490148	0.8937265367201557
