Gene,Frequency_pct,Source
TP53,7.9,ASH 2024 IA19
KRAS,22.0,Walker BA et al. 2018 Blood
NRAS,20.0,Walker BA et al. 2018 Blood
BRAF,7.0,Walker BA et al. 2018 Blood
DIS3,11.0,Walker BA et al. 2018 Blood
FAM46C,10.0,Walker BA et al. 2018 Blood
