file_id	file_name	data_category	data_type	data_format	experimental_strategy	access	case_projects
2af89128-8a28-474f-9bb2-7e68a50a3756	42613e39-daa6-4947-b3a2-9d2d7d6349bd.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
18409b92-7db4-432b-bf39-7b27cc21a700	15fb6b33-4253-4852-b315-8f32a866868e.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
75e36410-1106-47fb-bd79-7ee9120eeaa0	397d33bc-ddbb-42ab-a597-b2928c10ee62.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
c2f2b20d-e830-486f-946a-274fc8b0d5dd	8d070d52-dfbf-4a4d-a349-13668939b2ca_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
606d0d8f-5f5c-4b4f-b338-b2cf34fe5a7a	96f363dd-4888-47db-8cf4-345478677fce_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
ce1abad0-4995-42a1-a382-9df09cf75a15	ddc985b0-6257-4357-9a45-750342ef510e_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
cf5e9ae9-4270-47fb-abb7-645d4c6bca82	50afa29a-c3e6-47d8-9298-82a109515f50_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
920cd923-9c87-47b4-b605-d0b58838e3d5	3ddb8dd1-6f9d-466a-b7c5-abd1301e9c33_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
e7853d1b-3bf5-4ecc-be4a-3e267d60b6e8	567e6dbf-97e8-4cd0-b89e-9c043a935bdd.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
f383b8f5-9937-4fbb-ab47-17f97bb41dc5	e269b3b7-91a8-4a1a-9485-aba043b559dc.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
1a575521-2ac8-479e-8c84-d4dcdacffd15	83c2e20e-e2c2-4d73-972e-570f878fc8ab.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
30b2613d-6aef-4a4b-9cce-4cb82e388404	84e12c6d-d0d4-44bb-a0a2-e13e431ec3db.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
37b35ca9-4400-4ef4-98e6-e83983439a0b	6fce1253-9f9d-46f1-b3bd-33def7b8e582.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
e9cb6ac0-dad1-4c4d-bdf4-532683c44742	b170381f-6557-4eab-9003-25876b571619.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
e51a6523-8631-45b1-9785-c5d374dfe1cc	455df994-3b41-41a5-8220-bba69395d0a0.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
0110a4c8-8653-4418-b275-49664ac0200e	c30723d3-041d-4711-86c4-2d557671ce89.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
2f37a09c-3a69-4fae-823e-f0c183c1ca6f	aeba2e86-d159-42c2-883f-b57f2e0224db_wgs_gdc_realn.cr.igv.reheader.seg.txt	Copy Number Variation	Copy Number Segment	TXT	WGS	open	MMRF-COMMPASS
40bc9bb9-ea09-4601-be31-ac1f1e0a324b	41ec2735-dbc9-4da1-a618-18aaec6e361f.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
59fbad3d-61ce-4a7b-960c-767fa5ef8bf3	2a4c99d5-e916-4e82-946c-4451f52191ed.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
6309e614-2809-4fb4-abc2-d2486498599e	c44b6d98-b6b1-4b27-9114-ddcc94a5d667.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
1215c2bf-89bc-49c3-93f3-976a0278e1c2	e823d5ce-7207-444f-8476-5c71f0807a99.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
434b57c0-aa69-45ec-9e0e-8c3c3951ac3e	5cb8ddd7-303c-4581-88f1-c616afaf4b1f.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
a8705961-eeab-4372-a7a1-1d6c1b38bebb	1a6a0851-43ad-4ef2-afb7-63dcf83237eb.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
4b2ab906-7a2f-4d46-a548-ce3af5f9cf5f	8017e3c0-ef74-4f45-8669-1d6b793dbd06.wxs.aliquot_ensemble_masked.maf.gz	Simple Nucleotide Variation	Masked Somatic Mutation	MAF	WXS	open	MMRF-COMMPASS
48d5df74-bb33-4f8e-8cd2-d459aa2d8c1d	fa346615-0f71-410b-ad2a-15d77385dd98.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TSV	RNA-Seq	open	MMRF-COMMPASS
