score	score_label	n	cases	odds_ratio	ci_lower	ci_upper	coef	se	p_value	covariates	status	note	fdr
plasma_secretory_score_z	Plasma-secretory score	613	212	1.395495269576851	1.0049442818049843	1.9378258901216119	0.33324938421912936	0.16750881899748174	0.04665223733255933	age_z,male,iss_stage_num,pr_probability_z,proliferation_z,low_purity_probability_z	ok	1q21 association adjusted for PR probability, proliferation, and low-purity probability	0.04665223733255933
clinical_subtype_module_score_z	POU2AF1/XBP1/JCHAIN module	613	212	0.6551301444919494	0.4989784302098649	0.8601484157171435	-0.4229213692030611	0.1389137964255939	0.0023307682353999595	age_z,male,iss_stage_num,pr_probability_z,proliferation_z,low_purity_probability_z	ok	1q21 association adjusted for PR probability, proliferation, and low-purity probability	0.004661536470799919
